Subject,Predicate,Object,Annotation,BatchID,BatchTime
http://dbpedia.org/resource/Shock_to_the_System_(Gemma_Hayes_song),http://dbpedia.org/property/format,http://dbpedia.org/resource/Paid_download,Incorrect,0,347.5374619960785
http://dbpedia.org/resource/Shock_to_the_System_(Gemma_Hayes_song),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Dave_Odlum,Incorrect,0,347.5374619960785
http://dbpedia.org/resource/Shock_to_the_System_(Gemma_Hayes_song),http://dbpedia.org/ontology/format,http://dbpedia.org/resource/Music_download,Incorrect,0,347.5374619960785
http://dbpedia.org/resource/Shock_to_the_System_(Gemma_Hayes_song),http://dbpedia.org/property/format,http://dbpedia.org/resource/Music_download,Incorrect,0,347.5374619960785
http://dbpedia.org/resource/Shock_to_the_System_(Gemma_Hayes_song),http://dbpedia.org/property/length,221.0,Incorrect,0,347.5374619960785
http://dbpedia.org/resource/Paora_Winitana,http://dbpedia.org/ontology/termPeriod,http://dbpedia.org/resource/Paora_Winitana__1,Incorrect,1,260.8249740600586
http://dbpedia.org/resource/Paora_Winitana,http://dbpedia.org/property/years,2011,I Don't Know,1,260.8249740600586
http://dbpedia.org/resource/Paora_Winitana,http://www.w3.org/2000/01/rdf-schema#comment,Paora Ramiha Winitana (born 6 December 1976) is a New Zealand professional basketball player who currently plays for the Hawke's Bay Hawks of the New Zealand National Basketball League (NZNBL). He was ordained as a Mormon bishop in 2005 and chooses not to play basketball on Sundays.,Correct,1,260.8249740600586
http://dbpedia.org/resource/Paora_Winitana,http://xmlns.com/foaf/0.1/name,"Winitana, Paora",Correct,1,260.8249740600586
http://dbpedia.org/resource/Paora_Winitana,http://dbpedia.org/ontology/termPeriod,http://dbpedia.org/resource/Paora_Winitana__5,Incorrect,1,260.8249740600586
http://dbpedia.org/resource/Copelatus_mathani,http://dbpedia.org/ontology/family,http://dbpedia.org/resource/Dytiscidae,Correct,2,289.3121602535248
http://dbpedia.org/resource/Copelatus_mathani,http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Copelatus,Correct,2,289.3121602535248
http://dbpedia.org/resource/Copelatus_mathani,http://www.w3.org/2000/01/rdf-schema#comment,"Copelatus mathani is a species of diving beetle. It is part of the Copelatus genus, which is of the Copelatinae subfamily and the Dytiscidae family. It was described by Guignot in 1952.",Correct,2,289.3121602535248
http://dbpedia.org/resource/Copelatus_mathani,http://dbpedia.org/property/name,Copelatus mathani,Correct,2,289.3121602535248
http://dbpedia.org/resource/Copelatus_mathani,http://dbpedia.org/property/phylum,Arthropoda,Correct,2,289.3121602535248
http://dbpedia.org/resource/Sultan_Mudzafar_Shah_I,http://dbpedia.org/property/successor,http://dbpedia.org/resource/Sultan_Mu'adzam_Shah,Correct,3,503.0438668727875
http://dbpedia.org/resource/Sultan_Mudzafar_Shah_I,http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Monarchs_of_Kedah,Correct,3,503.0438668727875
http://dbpedia.org/resource/Sultan_Mudzafar_Shah_I,http://dbpedia.org/ontology/deathDate,1179,Correct,3,503.0438668727875
http://dbpedia.org/resource/Sultan_Mudzafar_Shah_I,http://dbpedia.org/ontology/title,Sultan of Kedah,Correct,3,503.0438668727875
