Subject,Predicate,Object,Error,BatchID,BatchTime
http://dbpedia.org/resource/Shock_to_the_System_(Gemma_Hayes_song),http://dbpedia.org/property/format,http://dbpedia.org/resource/Paid_download,Subject,0,20.027442932128903
http://dbpedia.org/resource/Shock_to_the_System_(Gemma_Hayes_song),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Dave_Odlum,Subject,0,20.027442932128903
http://dbpedia.org/resource/Shock_to_the_System_(Gemma_Hayes_song),http://dbpedia.org/ontology/format,http://dbpedia.org/resource/Music_download,Subject,0,20.027442932128903
http://dbpedia.org/resource/Shock_to_the_System_(Gemma_Hayes_song),http://dbpedia.org/property/format,http://dbpedia.org/resource/Music_download,Subject,0,20.027442932128903
http://dbpedia.org/resource/Shock_to_the_System_(Gemma_Hayes_song),http://dbpedia.org/property/length,221.0,Subject;Object,0,20.027442932128903
http://dbpedia.org/resource/Paora_Winitana,http://dbpedia.org/ontology/termPeriod,http://dbpedia.org/resource/Paora_Winitana__1,Object,1,6.066553115844727
http://dbpedia.org/resource/Paora_Winitana,http://dbpedia.org/ontology/termPeriod,http://dbpedia.org/resource/Paora_Winitana__5,Object,1,6.066553115844727
http://dbpedia.org/resource/Antonio_Pujol,http://xmlns.com/foaf/0.1/name,"Pujol, Antonio",Object,4,2.7249250411987305
http://dbpedia.org/resource/Sunnyodon,http://dbpedia.org/property/imageCaption,Restoration,Object,5,3.109851121902466
http://dbpedia.org/resource/Yowani_Choctaws,http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Caddo,Object,6,4.159170150756836
http://dbpedia.org/resource/Yowani_Choctaws,http://xmlns.com/foaf/0.1/homepage,http://www.chickasaw.net,Object,6,4.159170150756836
http://dbpedia.org/resource/Tour_de_France_(song),http://dbpedia.org/property/recorded,1984,Object,7,3.7122740745544434
http://dbpedia.org/resource/Romain_Ferrier,http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Romain_Ferrier__8,Object,8,3.2978219985961914
http://dbpedia.org/resource/Romain_Ferrier,http://dbpedia.org/ontology/careerStation,http://dbpedia.org/resource/Romain_Ferrier__7,Object,8,3.2978219985961914
"http://dbpedia.org/resource/Wayland_(village),_New_York",http://dbpedia.org/ontology/PopulatedPlace/areaTotal,2.589988110336,Object,9,7.584335803985596
"http://dbpedia.org/resource/Wayland_(village),_New_York",http://dbpedia.org/ontology/PopulatedPlace/populationDensity,707.0688829387811,Object,9,7.584335803985596
"http://dbpedia.org/resource/Wayland_(village),_New_York",http://dbpedia.org/property/lats,5,Predicate;Object,9,7.584335803985596
http://dbpedia.org/resource/Ainselu_Kharka,http://dbpedia.org/ontology/abstract,"Ainselu Kharka is a town and Village Development Committee  in Khotang District in the Sagarmatha Zone of eastern Nepal. At the time of the 1991 Nepal census it had a population of 3,617 persons living in 676 individual households.",Object,10,3.658724069595337
http://dbpedia.org/resource/Ainselu_Kharka,http://dbpedia.org/property/settlementType,http://dbpedia.org/resource/Village_Development_Committee,Object,10,3.658724069595337
http://dbpedia.org/resource/Steven_G._Vandenberg,http://dbpedia.org/ontology/abstract,"Steven Vandenberg (born July 15, 1915, Den Helder, The Netherlands d. August 27, 1992, Boulder, Colorado, United States) was a behavior geneticist who immigrated to the US after the Second World War, obtaining his Ph.D. from the University of Michigan in 1955.From 1960 to 1967 he worked at the University of Louisville School of Medicine as director of the Louisville Twin Study. In 1970 he moved to the Institute of Behavior Genetics at the University of Colorado at Boulder, where he remained until his retirement. Vandenberg received many honors and awards during his lifetime, including being the first recipient of the Behavior Genetics Association's Dobzhansky Career Award in 1977. Vandenberg served as President of the Behavior Genetics Association (1984–1985) and was the founding editor-in-chief of their scientific journal Behavior Genetics.",Object,13,5.06417989730835
http://dbpedia.org/resource/Steven_G._Vandenberg,http://dbpedia.org/property/hasPhotoCollection,http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Steven_G._Vandenberg,Object,13,5.06417989730835
"http://dbpedia.org/resource/Dodge_Center,_Minnesota",http://dbpedia.org/ontology/populationTotal,2670,Object,15,14.314211130142212
"http://dbpedia.org/resource/Dodge_Center,_Minnesota",http://dbpedia.org/property/latns,N,Predicate;Object,15,14.314211130142212
"http://dbpedia.org/resource/Dodge_Center,_Minnesota",http://dbpedia.org/property/areaLandSqMi,2.08,Object,15,14.314211130142212
http://dbpedia.org/resource/Östersunds_BS,http://dbpedia.org/property/ballpark,http://dbpedia.org/resource/Östersund_Arena,Predicate,16,3.0883231163024902
http://dbpedia.org/resource/Eric_Shinseki,http://dbpedia.org/ontology/militaryCommand,"3rd Squadron,7th Cavalry Regiment, 3rd Infantry Division",Object,17,6.080954074859619
http://dbpedia.org/resource/Eric_Shinseki,http://dbpedia.org/ontology/religion,http://dbpedia.org/resource/Lutheranism,Object,17,6.080954074859619
http://dbpedia.org/resource/Lake_effect_snow_advisory,http://dbpedia.org/ontology/abstract,"A Lake Effect Snow Advisory is issued by the National Weather Service of the United States when lake effect snow may pose a hazard or is life-threatening. The snow must be completely caused by a convective snow development over a lake and not by a low pressure system. The criteria for this advisory vary from area to area.Prior to the 2008-09 winter storm season, there was the Lake-Effect Snow and Blowing Snow Advisory, specific for when blowing snow another hazard expected in the advised area. The Lake-Effect Snow Advisory for Lake-Effect Snow and Blowing Snow has since replaced it.",Object,18,4.280099153518677
http://dbpedia.org/resource/Lake_effect_snow_advisory,http://www.w3.org/2000/01/rdf-schema#comment,"A Lake Effect Snow Advisory is issued by the National Weather Service of the United States when lake effect snow may pose a hazard or is life-threatening. The snow must be completely caused by a convective snow development over a lake and not by a low pressure system. The criteria for this advisory vary from area to area.Prior to the 2008-09 winter storm season, there was the Lake-Effect Snow and Blowing Snow Advisory, specific for when blowing snow another hazard expected in the advised area.",Object,18,4.280099153518677
http://dbpedia.org/resource/Desperate_Teenage_Lovedolls,http://dbpedia.org/property/music,http://dbpedia.org/resource/SIN_34,Predicate,19,2.132183790206909
http://dbpedia.org/resource/Francesco_Maria_Emanuele_Gaetani,http://dbpedia.org/ontology/alias,"marquis of Villabianca, Count ofBelforte",Object,20,2.9808170795440674
http://dbpedia.org/resource/2013–14_BYU_Cougars_men's_basketball_team,http://dbpedia.org/property/opponent,http://dbpedia.org/resource/2013–14_North_Texas_Mean_Green_men's_basketball_team,Subject,21,38.46543192863464
http://dbpedia.org/resource/2013–14_BYU_Cougars_men's_basketball_team,http://dbpedia.org/property/time,540.0,Subject;Predicate;Object,21,38.46543192863464
http://dbpedia.org/resource/2013–14_BYU_Cougars_men's_basketball_team,http://dbpedia.org/property/hometown,"Alpine, Utah",Subject;Object,21,38.46543192863464
http://dbpedia.org/resource/2013–14_BYU_Cougars_men's_basketball_team,http://dbpedia.org/property/rivalsRefTitle,BYU 2010 Basketball Commitments,Subject;Object,21,38.46543192863464
http://dbpedia.org/resource/2013–14_BYU_Cougars_men's_basketball_team,http://dbpedia.org/property/assist,Matt Carlino & Kyle Collinsworth 2,Subject;Predicate;Object,21,38.46543192863464
http://dbpedia.org/resource/Cardinal_Ambrozic_Catholic_Secondary_School,http://dbpedia.org/ontology/foundingYear,2009,Object,22,74.98815107345581
http://dbpedia.org/resource/Cardinal_Ambrozic_Catholic_Secondary_School,http://dbpedia.org/property/principal,Dan Compagnon,Object,22,74.98815107345581
http://dbpedia.org/resource/Cardinal_Ambrozic_Catholic_Secondary_School,http://dbpedia.org/property/longm,41,Predicate;Object,22,74.98815107345581
http://dbpedia.org/resource/Cardinal_Ambrozic_Catholic_Secondary_School,http://dbpedia.org/property/longew,W,Predicate;Object,22,74.98815107345581
http://dbpedia.org/resource/Caractères,http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Family,Object,23,2.457159996032715
"http://dbpedia.org/resource/Aster,_Edmonton",http://dbpedia.org/property/subdivisionName,NW,Object,24,9.5645170211792
"http://dbpedia.org/resource/Aster,_Edmonton",http://www.w3.org/2000/01/rdf-schema#comment,"Aster is a future neighbourhood in southeast Edmonton, Alberta, Canada. It was named for the Aster genus of flowering plants of which heath aster and flat-topped white aster are most common in Alberta.Aster is located within The Meadows and is identified as Neighbourhood 5 within The Meadows Area Structure Plan (ASP).",Object,24,9.5645170211792
"http://dbpedia.org/resource/Aster,_Edmonton",http://dbpedia.org/ontology/abstract,"Aster is a future neighbourhood in southeast Edmonton, Alberta, Canada. It was named for the Aster genus of flowering plants of which heath aster and flat-topped white aster are most common in Alberta.Aster is located within The Meadows and is identified as Neighbourhood 5 within The Meadows Area Structure Plan (ASP). It was officially named Aster on April 30, 2014.It is bounded on the west by 17 Street NW, north by a future realignment of 23 Avenue NW, and east and south by Anthony Henday Drive.",Object,24,9.5645170211792
http://dbpedia.org/resource/Statistical_finance,http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Application,Object,25,2.35640811920166
http://dbpedia.org/resource/Pocket_Cube,http://dbpedia.org/property/footer,Pocket Cube in different forms. From top :,Object,26,6.983514785766602
http://dbpedia.org/resource/Pocket_Cube,http://dbpedia.org/property/footer,iii.Pocket cube with one side tilted.,Object,26,6.983514785766602
http://dbpedia.org/resource/Pocket_Cube,http://dbpedia.org/property/image,Pocket cube solved.jpg,Object,26,6.983514785766602
http://dbpedia.org/resource/The_Call_of_the_Savage,http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Serial,Object,28,3.878578186035156
http://dbpedia.org/resource/The_Call_of_the_Savage,http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:1930s_fantasy_films,Object,28,3.878578186035156
http://dbpedia.org/resource/Badichowdi,http://dbpedia.org/property/blank1InfoSec,http://dbpedia.org/resource/Hyderabad,Predicate,29,2.3691940307617188
http://dbpedia.org/resource/Schrattenfluh,http://dbpedia.org/property/range,http://dbpedia.org/resource/Alps,Predicate,33,3.790576219558716
http://dbpedia.org/resource/Terry_Bowden,http://dbpedia.org/property/name,http://dbpedia.org/resource/2009_North_Alabama_Lions_football_team,Predicate,38,35.212406873703
http://dbpedia.org/resource/Drama_(film),http://dbpedia.org/property/genre,http://dbpedia.org/resource/Soundtrack,Predicate;Object,40,20.244596004486084
http://dbpedia.org/resource/Drama_(film),http://dbpedia.org/property/distributor,Jayanna Combines,Predicate;Object,40,20.244596004486084
http://dbpedia.org/resource/Drama_(film),http://dbpedia.org/property/runtime,8940.0,Predicate;Object,40,20.244596004486084
http://dbpedia.org/resource/Drama_(film),http://dbpedia.org/property/type,http://dbpedia.org/resource/Soundtrack,Predicate;Object,40,20.244596004486084
http://dbpedia.org/resource/Drama_(film),http://dbpedia.org/ontology/thumbnail,http://commons.wikimedia.org/wiki/Special:FilePath/Drama.drama.jpg?width=300,Object,40,20.244596004486084
http://dbpedia.org/resource/Phymorhynchus_moskalevi,http://dbpedia.org/property/unrankedSuperfamilia,clade Hypsogastropoda,Predicate;Object,41,107.46036982536316
http://dbpedia.org/resource/Phymorhynchus_moskalevi,http://dbpedia.org/property/unrankedSuperfamilia,clade Neogastropoda,Predicate,41,107.46036982536316
http://dbpedia.org/resource/List_of_counties_in_Texas,http://dbpedia.org/property/seat,Gonzales,Predicate;Object,43,35.48614001274109
http://dbpedia.org/resource/List_of_counties_in_Texas,http://dbpedia.org/property/num,443,Predicate,43,35.48614001274109
http://dbpedia.org/resource/List_of_counties_in_Texas,http://dbpedia.org/property/population,209714,Predicate,43,35.48614001274109
http://dbpedia.org/resource/List_of_counties_in_Texas,http://dbpedia.org/property/data,"John Bunyan Denton , a preacher, lawyer, and soldier killed during a raid on a Native American camp",Predicate;Object,43,35.48614001274109
http://dbpedia.org/resource/Djelfa_Province,http://dbpedia.org/property/blank1InfoSec,36,Predicate;Object,44,4.777868986129761
http://dbpedia.org/resource/Djelfa_Province,http://dbpedia.org/property/longd,3,Predicate;Object,44,4.777868986129761
http://dbpedia.org/resource/Ahmed_Izzet_Pasha,http://dbpedia.org/property/serviceyears,1884,Object,46,4.273911952972412
http://dbpedia.org/resource/Ahmed_Izzet_Pasha,http://dbpedia.org/property/termStart,1913-06-11,Object,46,4.273911952972412
http://dbpedia.org/resource/Cercospora_apii,http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Pathogen,Object,47,4.963454961776733
http://dbpedia.org/resource/Battle_of_Spartolos,http://dbpedia.org/ontology/combatant,"Chalcidice,",Object,49,2.095379114151001
http://dbpedia.org/resource/Body_of_Evidence_(1993_film),http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:1990s_mystery_films,Object,50,4.572901964187622
http://dbpedia.org/resource/Pleurotomella_marshalli,http://dbpedia.org/ontology/family,http://dbpedia.org/resource/Conoidea,Predicate,52,24.753350973129272
http://dbpedia.org/resource/The_Black_Crowes,http://dbpedia.org/property/background,group_or_band,Object,53,11.04849410057068
http://dbpedia.org/resource/The_Black_Crowes,http://dbpedia.org/property/label,"Def American, Columbia, V2, Silver Arrow",Object,53,11.04849410057068
http://dbpedia.org/resource/Salah_Mansour,http://dbpedia.org/property/placeOfBirth,http://dbpedia.org/resource/Qalyubia_Governorate,Object,54,3.817500114440918
http://dbpedia.org/resource/Salah_Mansour,http://purl.org/dc/elements/1.1/description,Egyptian film director,Object,54,3.817500114440918
http://dbpedia.org/resource/Fabio_Testi,http://dbpedia.org/ontology/abstract,"Fabio Testi (born 2 August 1941) is an Italian film actor, notable as the star of, among many other films, First Action Hero.Born in Peschiera del Garda, Italy, the 1.84m tall actor started his film career as a stuntman in his college years. His most famous job as a stuntman was in Sergio Leone's Once Upon a Time in the West, where he fell from a rooftop and hit the ground on his shoulder.He has a son, Edwin, born 1971, from his relationship with Edwige Fenech. In 1979 Testi married Lola Navarro, with whom he fathered three children. On January 3, 2015 he got married to Antonella Liguori.",Object,55,13.603546857833862
http://dbpedia.org/resource/Yorkton,http://dbpedia.org/property/2006TotalPvtDwell,6773,Predicate;Object,59,3.981813907623291
http://dbpedia.org/resource/Vasa_IFK,http://dbpedia.org/property/name,Artur Lemanowicz,Predicate,60,4.039897680282593
http://dbpedia.org/resource/Vasa_IFK,http://dbpedia.org/property/no,21,Predicate,60,4.039897680282593
http://dbpedia.org/resource/Vasa_IFK,http://dbpedia.org/property/no,2,Predicate,60,4.039897680282593
http://dbpedia.org/resource/Battle_of_the_Espero_Convoy,http://dbpedia.org/property/strength,3,Predicate;Object,63,3.229289054870605
http://dbpedia.org/resource/Riola,http://dbpedia.org/property/areaCodeType,http://dbpedia.org/resource/Telephone_numbers_in_Spain,Object,64,11.248959064483644
http://dbpedia.org/resource/Riola,http://dbpedia.org/property/longew,W,Predicate;Object,64,11.248959064483644
http://dbpedia.org/resource/Riola,http://dbpedia.org/property/longd,0,Predicate;Object,64,11.248959064483644
http://dbpedia.org/resource/WXEI-LP,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Florida,Object,65,9.608524084091188
http://dbpedia.org/resource/WXEI-LP,http://dbpedia.org/ontology/webcast,http://wxei.8m.com/,Object,65,9.608524084091188
http://dbpedia.org/resource/The_Royal_Oui,http://dbpedia.org/property/label,File Under: Music,Object,66,3.3813161849975586
http://dbpedia.org/resource/The_Royal_Oui,http://dbpedia.org/ontology/background,group_or_band,Object,66,3.3813161849975586
http://dbpedia.org/resource/Frank_Iero,http://dbpedia.org/property/hasPhotoCollection,http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Frank_Iero,Object,67,2.9354381561279297
http://dbpedia.org/resource/Gilan_Province,http://dbpedia.org/property/seatType,http://dbpedia.org/resource/Capital_city,Predicate;Object,68,25.159146785736084
http://dbpedia.org/resource/Gilan_Province,http://dbpedia.org/property/p,16,Predicate;Object,68,25.159146785736084
http://dbpedia.org/resource/Gilan_Province,http://dbpedia.org/property/coordinatesRegion,IR,Predicate,68,25.159146785736084
http://dbpedia.org/resource/National_Benzole,http://dbpedia.org/property/hasPhotoCollection,http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/National_Benzole,Object,71,3.379890918731689
http://dbpedia.org/resource/Thunderbird_Films,http://dbpedia.org/property/locationCity,http://dbpedia.org/resource/British_Columbia,Object,78,3.71120810508728
http://dbpedia.org/resource/Thunderbird_Films,http://dbpedia.org/property/locationCity,http://dbpedia.org/resource/California,Object,78,3.71120810508728
http://dbpedia.org/resource/Techtron,http://dbpedia.org/ontology/product,"http://dbpedia.org/resource/Electronic_Equipment,_Scientific_instrument",Object,81,6.135787010192871
http://dbpedia.org/resource/Techtron,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Scientific_instrument,Object,81,6.135787010192871
http://dbpedia.org/resource/Techtron,http://dbpedia.org/property/keyPeople,"Alan Walsh, Inventor of AAS",Object,81,6.135787010192871
http://dbpedia.org/resource/Gravedigger_Five,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/California,Object,88,2.136831998825073
