Subject,Predicate,Object,Error,BatchID,BatchTime,BatchDate
http://dbpedia.org/resource/David_Robbins_(artist),http://dbpedia.org/ontology/abstract,"David Robbins (born 1957 in Whitefish Bay, Wisconsin) is an artist and writer who was one of the first to investigate the art world's entrance into the culture industry.For three decades, in artworks and writing David Robbins has promoted a frank, unapologetic recognition of the contemporary overlap between the art and entertainment contexts. His work Talent, eighteen ""entertainer's headshots"" of contemporary artists including Cindy Sherman, Jeff Koons, Jenny Holzer, Allan McCollum and others, is widely credited with announcing the age of the celebrity artist, and The Ice Cream Social (1993-2008), a multi-platform project comprising a TV pilot for the Sundance Channel, a novella, installations, ceramics, and performance, has been cited by curator Hans Ulrich Obrist as pioneering the ""expanded exhibition."" In its totality The Ice Cream Social represents an emphatically American version of some of the exhibition strategies employed by artists associated with relational aesthetics.Progressively evolving away from the prevailing model of the professional contemporary artist, in his books High Entertainment (2009) and Concrete Comedy: An Alternative History of Twentieth-Century Comedy (2011) he identified and advanced other categories of imaginative endeavor. In 2000 he withdrew from active participation in the art world in order to discover how his imagination performed when not formatted to produce art, and began using the term ""independent imagination"" in place of ""artist.""  Subsequently relocating to Milwaukee he aligned his work with contexts and formats historically forsaken by the avant garde, positing the suburb as a frontier for art production and creating TV commercials for galleries. His work was featured in the 2014 Whitney Biennial.",Object,0,12.125366926193236,10
http://dbpedia.org/resource/Time_(magazine),http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Canadian_news_magazines,Object,1,10.954138040542604,10
http://dbpedia.org/resource/Imad_Abu_Zahra,http://dbpedia.org/property/float,left,Predicate,6,5.974815845489502,10
http://dbpedia.org/resource/A_Buffalope's_Tale,http://dbpedia.org/property/publisher,http://dbpedia.org/resource/Guild_Publishing,Object,8,3.0526859760284424,10
http://dbpedia.org/resource/Edward_Felten,http://dbpedia.org/ontology/doctoralAdvisor,http://dbpedia.org/resource/Edward_D._Lazowska,Predicate,10,2.2010412216186523,10
http://dbpedia.org/resource/Frank_Lebby_Stanton,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Charleston,_South_Carolina",Object,12,8.508535861968994,10
http://dbpedia.org/resource/Frank_Lebby_Stanton,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/South_Carolina,Object,12,8.508535861968994,10
http://dbpedia.org/resource/Bangalore_Nagarathnamma,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Bangalore,Object,13,1.847963094711304,10
http://dbpedia.org/resource/Death_by_a_Thousand_Cuts_(book),http://dbpedia.org/ontology/isbn,ISBN 0-674-02773-6,Object,18,3.464096069335937,11
http://dbpedia.org/resource/Nightfall_Games,http://dbpedia.org/property/foundation,1990,Object,28,3.436730146408081,12
http://dbpedia.org/resource/The_Heads_of_Cerberus,http://dbpedia.org/ontology/numberOfPages,191,Object,33,2.4403200149536133,12
http://dbpedia.org/resource/Truckin'_Magazine,http://dbpedia.org/property/title,Truckin Magazine,Subject,35,4.928425073623657,12
http://dbpedia.org/resource/Truckin'_Magazine,http://dbpedia.org/property/hasPhotoCollection,http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Truckin'_Magazine,Subject,35,4.928425073623657,12
http://dbpedia.org/resource/Truckin'_Magazine,http://dbpedia.org/ontology/depictionDescription,"Truckin Magazine, April 2012",Subject,35,4.928425073623657,12
http://dbpedia.org/resource/Truckin'_Magazine,http://dbpedia.org/property/website,http://www.truckinweb.com/,Subject,35,4.928425073623657,12
http://dbpedia.org/resource/Truckin'_Magazine,http://dbpedia.org/property/circulationYear,2011,Subject,35,4.928425073623657,12
http://dbpedia.org/resource/2009–10_Manchester_City_F.C._season,http://dbpedia.org/property/team,http://dbpedia.org/resource/Arsenal_F.C.,Predicate,38,7.527421951293945,12
http://dbpedia.org/resource/2009–10_Manchester_City_F.C._season,http://dbpedia.org/property/team,http://dbpedia.org/resource/Crystal_Palace_F.C.,Predicate,38,7.527421951293945,12
http://dbpedia.org/resource/2009–10_Manchester_City_F.C._season,http://dbpedia.org/property/team,http://dbpedia.org/resource/Everton_F.C.,Predicate,38,7.527421951293945,12
http://dbpedia.org/resource/2009–10_Manchester_City_F.C._season,http://dbpedia.org/property/team,http://dbpedia.org/resource/Aston_Villa_F.C.,Predicate,38,7.527421951293945,12
http://dbpedia.org/resource/Health_Service_Journal,http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:EMAP,Object,39,11.91844892501831,13
http://dbpedia.org/resource/Jane_Child,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Dance_music,Predicate,41,3.3744499683380127,13
http://dbpedia.org/resource/Jane_Child,http://dbpedia.org/property/genre,http://dbpedia.org/resource/Freestyle_music,Object,41,3.3744499683380127,13
http://dbpedia.org/resource/Yekaterinburg,http://dbpedia.org/property/sepSnowDays,1,Predicate;Object,46,8.125858068466187,13
http://dbpedia.org/resource/Yekaterinburg,http://dbpedia.org/property/mayRecordHighC,33.4,Predicate;Object,46,8.125858068466187,13
http://dbpedia.org/resource/Yekaterinburg,http://dbpedia.org/property/marMeanC,-3.8,Predicate;Object,46,8.125858068466187,13
http://dbpedia.org/resource/Yekaterinburg,http://dbpedia.org/property/decRecordHighC,5.9,Predicate;Object,46,8.125858068466187,13
http://dbpedia.org/resource/Yekaterinburg,http://dbpedia.org/property/sepRecordHighC,31.9,Predicate;Object,46,8.125858068466187,13
